Severity,Temperature.F.,Wind_Chill.F.,Humidity...,Pressure.in.,Visibility.mi.,Wind_Direction,Wind_Speed.mph.,Precipitation.in.,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Time_Of_Day,Month
4,83.3,87.3123399337744,75,30.1,10,15,9.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
3,44.1,41.5777954951499,76,30.23,10,14,4.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12
2,53.6,53.3675418456487,54,30.04,10,10,3.5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
3,87.1,91.7686608318412,44,29.98,10,9,4.6,0,36,0,0,1,0,0,0,0,0,1,0,0,1,0,1,7
3,86,90.6366784001365,66,29.9,10,5,9.2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,9
2,89.1,94.5748359503702,65,30,10,22,11.5,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8
2,87.1,91.8957409883416,49,30.11,10,20,6.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
4,60.4,59.7229234673047,91,30.04,10,1,7,0,31,0,0,0,0,0,0,0,0,0,1,0,0,0,3,10
2,59,57.0958419476543,36,29.79,10,18,10.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
2,57.2,55.1770680922741,67,30.1,10,11,9.2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
2,57.9,56.7100507666986,93,29.88,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
2,60.8,60.2356182028361,63,30.31,10,22,6.9,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
3,33.8,27.7328305523172,60,30.17,10,14,6.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
3,64.4,64.5693232229053,77,29.9,10,15,6.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
2,60,73.03,80,29.27,4,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
2,42.1,37.668695298868,58,30.04,10,1,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
2,78.1,81.0614784381686,48,30.09,10,11,6.9,0,36,0,0,0,0,0,0,0,0,1,0,0,1,0,3,7
2,82.4,86.2362032326385,51,29.93,10,1,7,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8
3,54,50.5805256654463,81,29.87,10,24,11.5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,10
3,88,93.0991513381825,23,29.88,10,14,9.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
2,84,88.163939443282,72,30,10,24,6.9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
3,88,92.9850380819962,30,29.99,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
2,63,61.652485359905,87,30.18,8,5,12.7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
3,90,95.8778230753648,55,29.96,10,15,15,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7
2,50,47.1893730327833,58,30.06,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
2,55.9,54.336964147742,75,30.37,10,16,6.9,0.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
2,73.9,75.4247914380658,34,29.96,10,18,12.7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2,53.1,48.1500748933349,69,29.65,10,11,17.3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
3,72.4858974358974,74.288231646081,67,30.23,2,1,7,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,8
3,61.9,61.5306470876684,81,29.96,10,1,7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
3,64.9,64.2425764376877,37,30.2,10,10,11.5,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
2,62.1,61.7716769037169,86,30.12,9,1,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
2,71.6,73.6766047221036,25,29.94,10,18,4.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
2,81,84.5944183020284,72,29.87,10,23,5.8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
2,84.9,89.2270317416214,49,30.04,10,23,5.8,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9
3,88,93.240343337338,9,29.99,10,17,12.7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
3,69.1,69.6533271939631,51,30.12,10,23,10.4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
3,86,90.7337090681907,32,29.84,10,17,13.8,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9
2,68,69.4745787869388,64,29.83,8,9,4.6,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9
2,83.5,87.5620359682725,45,30.01,10,11,6.9,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,3,7
2,91.4,97.1897531341167,23,29.89,10,22,8.1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2,86,90.4292719715384,58,30.15,10,12,3.5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8
2,59,57.3932937365155,49,30.17,10,18,9.2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10
2,78.1,80.843165532258,48,30.13,10,9,10.4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
2,60.8,60.5998563841361,68,29.95,10,22,5.8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
2,81,84.4804960550215,54,29.81,10,24,9.2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7
3,50,46.3121655153085,96,29.93,3,9,9.2,0.01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
2,82,85.6920954788525,74,30.03,10,18,10.4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
2,95,101.855195300834,43,30.02,10,17,10.4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
3,41,35.7552169440526,47,30.25,10,10,8.1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,11
3,62.1,61.4748342775913,72,29.91,10,16,8.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
